condition medium, random seed 649601
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.186993, 0.3535009, 0.09683261, -0.3687485, 0.0130189, 0.2179386, -0.9035252, 0.001594257, 1.169611, 0.1386636, -0.08715568, 0, 0, -0.9961947, 0.181296, 0.2956248, 0.1570323, -0.6446134, -0.3940597, -0.3735744, -0.5381753
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1962138, 0.3584139, 0.09852908, -0.3967214, 0.1077264, 0.207718, -0.887615, 0.00159433, 1.169529, 0.1386691, -0.08715568, 0, 0, -0.9961947, 0.1759363, 0.3000735, 0.1550208, -0.6225506, -0.3181624, -0.4219292, -0.5772169
0.2, 0, 0, 0, 0, 0, 0, 1, 0.2031046, 0.3726607, 0.09245313, -0.4377029, 0.2242706, 0.2499666, -0.8340477, 0.00159433, 1.16954, 0.1386522, -0.08715568, 0, 0, -0.9961947, 0.161889, 0.3160147, 0.1382636, -0.6244437, -0.184384, -0.4404581, -0.6181177
0.25, 0, 0, 0, 0, 0, 0, 1, 0.2255687, 0.3999759, 0.09165534, -0.4528968, 0.2656931, 0.3571289, -0.7724963, 0.00159433, 1.169515, 0.1386833, -0.08715568, 0, 0, -0.9961947, 0.1710836, 0.3502736, 0.1312427, -0.67173, -0.08146796, -0.3759102, -0.633114
0.3, 0, 0, 0, 0, 0, 0, 1, 0.2452631, 0.4346107, 0.101261, -0.4660771, 0.3209211, 0.4330196, -0.7016237, 0.001594329, 1.169487, 0.1387174, -0.08715568, 0, 0, -0.9961947, 0.1789676, 0.3946604, 0.1331198, -0.6906976, 0.02614526, -0.3313796, -0.6422156
0.35, 0, 0, 0, 0, 0, 0, 1, 0.2690898, 0.4576214, 0.1321592, -0.4746241, 0.3846153, 0.3706138, -0.6996059, 0.001594329, 1.169456, 0.138755, -0.08715568, 0, 0, -0.9961947, 0.199655, 0.4177952, 0.1566291, -0.6363342, 0.05170597, -0.3953276, -0.6603948
0.4, 0, 0, 0, 0, 0, 0, 1, 0.2822506, 0.4952546, 0.2021045, -0.44646, 0.4863587, 0.2166312, -0.7191659, 0.001594329, 1.169442, 0.1387728, -0.08715568, 0, 0, -0.9961947, 0.2121516, 0.4528201, 0.2191787, -0.4949233, 0.04888371, -0.5121298, -0.7002746
0.45, 0, 0, 0, 0, 0, 0, 1, 0.2925066, 0.5630591, 0.2939488, -0.3896896, 0.5727756, -0.002813645, -0.7211534, 0.001594329, 1.169441, 0.1387738, -0.08715568, 0, 0, -0.9961947, 0.2267257, 0.5128261, 0.3064235, -0.2925895, 0.01911503, -0.6423786, -0.708079
